id	FAS	BCL6	CASP1	CD36	DDC	FABP4	IL10	NR4A2	ABCB1	PPARA	PPARD	PPARG	SHBG	NR1H4	LPAR6	PARK7	Type
Train.GSE164760_GSM5018320_Treat	5.38482993118174	4.7314979035019	8.44544130382092	5.83968249043178	6.58923893866528	6.50357749698566	3.76658492366028	4.06009293321922	7.13017309883144	5.96533930205014	4.86770412735209	5.78856325802047	5.68122259008713	5.57718769426351	6.14818816266917	8.5963345103611	1
Train.GSE164760_GSM5018321_Treat	5.94174712098582	5.58633263141319	6.89906595557495	5.3514928481274	7.38274013126672	4.40309209807367	3.64401459415236	4.1104048330275	6.56840215970575	6.82001663127323	4.72567189815305	5.38806360393508	5.14048726414974	8.36178866180109	3.90877597880453	9.4771014649908	1
Train.GSE164760_GSM5018322_Treat	5.36570796744636	5.29994556012558	6.60514983786396	6.39988612461835	8.32871928408564	5.36068717527885	4.26030917131015	2.82670295417441	6.51422827999471	6.57508933827565	4.42836871781296	4.04476588213972	6.06819474903959	8.24425822849638	6.41582970120753	8.76851900680934	1
Train.GSE164760_GSM5018323_Treat	5.74190415684272	3.78158230486136	5.73714971658312	9.12370551774212	5.37817623397972	3.31633904271333	3.81741554905964	3.75823306536601	7.87563747094743	6.55511382458171	4.20081857479963	4.71346081437677	7.41047272409951	7.59115427573369	5.47381574721693	9.27000775733998	1
Train.GSE164760_GSM5018324_Treat	5.7663712686968	5.02071310370141	5.58923111966504	6.34647543905223	5.5438272982381	6.31540643779893	3.50974647321477	3.12878839714672	6.66759361543541	6.15461349136546	4.3598191733226	4.64680183544302	5.87266279046298	7.04254017551254	5.57796514323639	9.152109427978	1
Train.GSE164760_GSM5018325_Treat	6.20434777247724	6.72803502197787	5.86661652802973	5.28085408287089	8.17877096251532	5.33754309747453	3.3052519841729	3.87289945666247	7.74411185718332	6.60129354622742	4.69901137779895	6.16905510733855	5.30721685558998	7.92642750702984	6.0388887043532	9.90858291129506	1
Train.GSE164760_GSM5018326_Treat	6.08518614174187	5.95393695255578	6.10218974380457	5.60691305389619	5.65757741115919	14.9556447941934	3.48230969867359	3.06184743107401	7.71783686708326	5.96559431956303	5.19755800333142	5.32045047298288	6.86910320207842	7.24258278454478	8.30633967326056	9.29542821577014	1
Train.GSE164760_GSM5018327_Treat	5.71978956591582	6.02567852325439	6.02432663534843	6.80820437459707	6.87653268909169	6.63771518862645	3.98042283723605	4.74372968157035	7.07155636060807	7.37560012393634	4.78027101562305	5.14391016336978	6.00803600833737	7.3765418178761	4.58664497275303	9.71149450060148	1
Train.GSE164760_GSM5018328_Treat	6.63492765835355	4.98402946584005	8.16200432856755	6.5595871532137	6.63570792603661	3.49198303109828	5.0122502536536	7.49271780672142	7.71141603141484	5.85546919561488	5.15056065697467	6.2320675481397	5.42928676066542	8.37108027226919	5.87788778910146	8.88057624279134	1
Train.GSE164760_GSM5018329_Treat	5.02160055098843	4.84644782350234	7.82089386801632	5.71455804810324	5.99484216689418	2.39895088291951	4.15837657366469	4.37323299840234	4.72983785822081	6.40627318785893	4.31117797319094	4.24102208434126	5.9726680197395	6.86051987223098	6.05248856061694	8.98985786792571	1
Train.GSE164760_GSM5018330_Treat	6.39255838876553	5.78496683209772	7.77088170109555	5.01718803943514	6.86795938562664	5.41780076262263	3.78966095230754	4.68663755581778	8.64595027596285	6.46697427016102	4.39485933302792	5.75142938107435	3.64609823462782	9.20896082963302	6.66612125209805	9.3065680919733	1
Train.GSE164760_GSM5018331_Treat	7.01167751358739	5.26667799012906	5.99313779061448	8.83229514705117	6.93271827880498	4.96076775340693	3.89466135698889	3.87858495862616	6.1869899480311	6.40937576608042	4.66252013970652	5.03762881617701	5.87005454954231	7.08078868378255	8.56640489793159	9.16277169584732	1
